pruid,prname,date,reporting_year,numtotal_last7,ratecases_total,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,totalcases,Population,Land_Area_Square_Kilometres,numtotal_atleast1dose,numtotal_partially,numtotal_fully
59,British Columbia,2020-02-01,2020,1,0.02,0,0,0.0,0.02,0.0,0.0,0.0,0.0,1,5138710.0,920686.55,0.0,0.0,0.0
48,Alberta,2020-02-01,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4401362.0,634658.27,0.0,0.0,0.0
47,Saskatchewan,2020-02-01,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1179135.0,577060.4,0.0,0.0,0.0
46,Manitoba,2020-02-01,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1377248.0,540310.19,0.0,0.0,0.0
35,Ontario,2020-02-01,2020,3,0.02,0,0,0.0,0.02,0.0,0.0,0.0,0.0,3,14686092.0,892411.76,0.0,0.0,0.0
24,Quebec,2020-02-01,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8559876.0,1298599.75,0.0,0.0,0.0
10,Newfoundland and Labrador,2020-02-01,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,523345.0,358170.37,0.0,0.0,0.0
13,New Brunswick,2020-02-01,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,780677.0,71248.5,0.0,0.0,0.0
12,Nova Scotia,2020-02-01,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,977498.0,52824.71,0.0,0.0,0.0
11,Prince Edward Island,2020-02-01,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,159369.0,5681.18,0.0,0.0,0.0
60,Yukon,2020-02-01,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,41699.0,472345.44,0.0,0.0,0.0
61,Northwest Territories,2020-02-01,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,45270.0,1127711.92,0.0,0.0,0.0
62,Nunavut,2020-02-01,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,38720.0,1836993.78,0.0,0.0,0.0
99,Repatriated travellers,2020-02-01,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,Canada,2020-02-01,2020,4,0.01,0,0,0.0,0.01,0.0,0.0,0.0,0.0,4,37909001.0,8788702.8,0.0,0.0,0.0
59,British Columbia,2020-02-08,2020,3,0.08,0,0,0.0,0.06,0.0,0.01,0.0,0.0,4,5138710.0,920686.55,0.0,0.0,0.0
48,Alberta,2020-02-08,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4401362.0,634658.27,0.0,0.0,0.0
47,Saskatchewan,2020-02-08,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1179135.0,577060.4,0.0,0.0,0.0
46,Manitoba,2020-02-08,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1377248.0,540310.19,0.0,0.0,0.0
35,Ontario,2020-02-08,2020,0,0.02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,14686092.0,892411.76,0.0,0.0,0.0
24,Quebec,2020-02-08,2020,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8559876.0,1298599.75,0.0,0.0,0.0
